"Ref" "Duplicate"
"Acipenser fulvescens" "Acipenser oxyrinchus"
"Alosa aestivalis" "Alosa pseudoharengus"
"Alosa aestivalis" "Alosa sapidissima"
"Coregonus artedi" "Coregonus clupeaformis"
"Ichthyomyzon unicuspis" "Ichthyomyzon fossor"
"Notropis bifrenatus" "Notropis hudsonius"
"Oncorhynchus clarkii" "Oncorhynchus mykiss"
"Notropis heterolepis" "Pimephales notatus"
"Coregonus artedi" "Prosopium cylindraceum"
"Salvelinus alpinus" "Salvelinus fontinalis"
"Salvelinus alpinus" "Salvelinus namaycush"
"Margariscus margarita" "Chrosomus neogaeus"
"Notropis bifrenatus" "Hybognathus regius"
